start_date_local,type,distance,moving_time,average_speed,streak,location_country
2023-05-29 18:35:37,Run,6053.87,0:45:51,0:07:34,1,"{'latitude': 30.459066, 'longitude': 114.428401, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453628, 'startLongitude': 114.429389}"
2023-05-30 12:05:11,Run,3038.44,0:24:11,0:07:57,2,"{'latitude': 30.455397, 'longitude': 114.429751, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.450652, 'startLongitude': 114.429654}"
2023-05-31 07:24:22,Run,9303.36,1:09:11,0:07:26,3,"{'latitude': 30.454006, 'longitude': 114.430917, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.454162, 'startLongitude': 114.431192}"
2023-05-31 11:49:26,Run,4855.28,0:40:32,0:08:20,3,"{'latitude': 30.454101, 'longitude': 114.429953, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453546, 'startLongitude': 114.425144}"
2023-06-02 07:22:37,Run,5054.01,0:36:10,0:07:09,1,"{'latitude': 30.456287, 'longitude': 114.429526, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453715, 'startLongitude': 114.429402}"
2023-06-09 07:25:55,Run,3079.45,0:27:45,0:09:00,1,"{'latitude': 30.454406, 'longitude': 114.437803, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453785, 'startLongitude': 114.427236}"
2023-09-22 07:11:29,Run,5746.23,0:54:15,0:09:26,1,"{'latitude': 30.454029, 'longitude': 114.430967, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.490116, 'startLongitude': 114.428421}"
2023-10-23 07:15:33,Run,1022.11,0:07:51,0:07:40,1,"{'latitude': 30.489888, 'longitude': 114.429321, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.49015, 'startLongitude': 114.429936}"
2023-10-24 07:20:09,Run,2036.71,0:15:02,0:07:22,2,"{'latitude': 30.488695, 'longitude': 114.421922, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '洪山区', 'districtCode': '420111', 'startLatitude': 30.48999, 'startLongitude': 114.429052}"
2023-10-25 07:35:31,Run,3060.31,0:23:45,0:07:45,3,"{'latitude': 30.477813, 'longitude': 114.427863, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.489915, 'startLongitude': 114.429053}"
